text,sentiment
I love this product,positive
This service is amazing,positive
Thank you for your help,positive
What are your working hours,neutral
Can you provide details,neutral
I need information about my order,neutral
I am disappointed with the service,negative
Nobody responded to my complaint,negative
This is the worst experience ever,negative
I'm really happy with my purchase,positive
Outstanding quality, exceeded my expectations,positive
The team was incredibly helpful and kind,positive
Delivery was super fast, thank you!,positive
Best customer service I've ever experienced,positive
This product changed my life for the better,positive
Five stars! Absolutely worth every penny,positive
I can't believe how good this is,positive
You guys are doing an amazing job,positive
Super satisfied with the results,positive
Everything went smoothly, no issues at all,positive
I will definitely recommend this to my friends,positive
The packaging was beautiful and the product works great,positive
Got my refund quickly, very impressed,positive
The support agent was so patient and helpful,positive
Wow, this is exactly what I was looking for,positive
Loving the new features in the latest update,positive
I have been waiting for 2 weeks with no update,negative
The product stopped working after just one day,negative
This is completely unacceptable behavior,negative
I asked for a refund but nobody replied,negative
Very poor quality, fell apart immediately,negative
The delivery was late and the item was damaged,negative
I am extremely unhappy with this service,negative
This is a waste of money, do not buy,negative
Your support team is completely useless,negative
I've never had such a bad experience anywhere,negative
The product looks nothing like the photos,negative
I was charged twice and no one is helping me,negative
My complaint has been ignored for days,negative
This is broken and I want a replacement now,negative
Absolutely disgusting service, never coming back,negative
The app keeps crashing every time I open it,negative
Wrong item was delivered and return process is a nightmare,negative
Can you tell me the status of my order?,neutral
I would like to update my shipping address,neutral
How long does standard delivery take?,neutral
Do you offer a student discount?,neutral
I need to change my account email address,neutral
Is this item available in a larger size?,neutral
Can I return this within 30 days?,neutral
What payment methods do you accept?,neutral
I am looking for more information about this product,neutral
Please send me a copy of my invoice,neutral
How do I track my shipment?,neutral
Is there a warranty on this item?,neutral
I want to know the ingredients in this product,neutral
Can I speak to a manager please?,neutral
How do I cancel my subscription?,neutral
Is your store open on weekends?,neutral
